,Li_Len,1s_Qnt,Ones_Ratio,1rl_Avg,SS_Ratio_Li
Li_Len,1.0,0.980130594718,0.0508424495898,0.0108032048167,0.0615934692511
1s_Qnt,0.980130594718,1.0,0.0489571422548,0.0119273178999,0.0483808250105
Ones_Ratio,0.0508424495898,0.0489571422548,1.0,0.23293046877,-0.19938047293
1rl_Avg,0.0108032048167,0.0119273178999,0.23293046877,1.0,0.123050142338
SS_Ratio_Li,0.0615934692511,0.0483808250105,-0.19938047293,0.123050142338,1.0
